name,rating
MacArthur Park,3.5
Grand Park,4.5
Echo Park Lake,4.5
Hancock Park,4.5
Barnsdall Art Park,4.0
Elysian Park,4.0
Kenneth Hahn State Recreation Area,4.5
Lake Hollywood Park,4.5
Griffith Park,4.5
Hermon Park (Arroyo Seco Park),3.5
